,_id,year,level_1,level_2,value
0,1,1984,Acute Hospitals Admissions,Public,na
1,2,1984,Acute Hospitals Admissions,Non-public,na
2,3,1984,Psychiatric Hospitals Admissions,Public,na
3,4,1984,Psychiatric Hospitals Admissions,Non-public,na
4,5,1984,Community Hospitals Admissions,Public,na
5,6,1984,Community Hospitals Admissions,Non-public,na
6,7,1985,Acute Hospitals Admissions,Public,na
7,8,1985,Acute Hospitals Admissions,Non-public,na
8,9,1985,Psychiatric Hospitals Admissions,Public,na
9,10,1985,Psychiatric Hospitals Admissions,Non-public,na
10,11,1985,Community Hospitals Admissions,Public,na
11,12,1985,Community Hospitals Admissions,Non-public,na
12,13,1986,Acute Hospitals Admissions,Public,na
13,14,1986,Acute Hospitals Admissions,Non-public,na
14,15,1986,Psychiatric Hospitals Admissions,Public,na
15,16,1986,Psychiatric Hospitals Admissions,Non-public,na
16,17,1986,Community Hospitals Admissions,Public,na
17,18,1986,Community Hospitals Admissions,Non-public,na
18,19,1987,Acute Hospitals Admissions,Public,na
19,20,1987,Acute Hospitals Admissions,Non-public,na
20,21,1987,Psychiatric Hospitals Admissions,Public,na
21,22,1987,Psychiatric Hospitals Admissions,Non-public,na
22,23,1987,Community Hospitals Admissions,Public,na
23,24,1987,Community Hospitals Admissions,Non-public,na
24,25,1988,Acute Hospitals Admissions,Public,na
25,26,1988,Acute Hospitals Admissions,Non-public,na
26,27,1988,Psychiatric Hospitals Admissions,Public,na
27,28,1988,Psychiatric Hospitals Admissions,Non-public,na
28,29,1988,Community Hospitals Admissions,Public,na
29,30,1988,Community Hospitals Admissions,Non-public,na
30,31,1989,Acute Hospitals Admissions,Public,na
31,32,1989,Acute Hospitals Admissions,Non-public,na
32,33,1989,Psychiatric Hospitals Admissions,Public,na
33,34,1989,Psychiatric Hospitals Admissions,Non-public,na
34,35,1989,Community Hospitals Admissions,Public,na
35,36,1989,Community Hospitals Admissions,Non-public,na
36,37,1990,Acute Hospitals Admissions,Public,na
37,38,1990,Acute Hospitals Admissions,Non-public,na
38,39,1990,Psychiatric Hospitals Admissions,Public,na
39,40,1990,Psychiatric Hospitals Admissions,Non-public,na
40,41,1990,Community Hospitals Admissions,Public,na
41,42,1990,Community Hospitals Admissions,Non-public,na
42,43,1991,Acute Hospitals Admissions,Public,na
43,44,1991,Acute Hospitals Admissions,Non-public,na
44,45,1991,Psychiatric Hospitals Admissions,Public,na
45,46,1991,Psychiatric Hospitals Admissions,Non-public,na
46,47,1991,Community Hospitals Admissions,Public,na
47,48,1991,Community Hospitals Admissions,Non-public,na
48,49,1992,Acute Hospitals Admissions,Public,na
49,50,1992,Acute Hospitals Admissions,Non-public,na
50,51,1992,Psychiatric Hospitals Admissions,Public,na
51,52,1992,Psychiatric Hospitals Admissions,Non-public,na
52,53,1992,Community Hospitals Admissions,Public,na
53,54,1992,Community Hospitals Admissions,Non-public,na
54,55,1993,Acute Hospitals Admissions,Public,na
55,56,1993,Acute Hospitals Admissions,Non-public,na
