year,level_1,level_2,admissions
2006,Acute Hospitals Admissions,Public,308016.0
2006,Acute Hospitals Admissions,Non-public,92620.0
2006,Psychiatric Hospitals Admissions,Public,8245.0
2006,Psychiatric Hospitals Admissions,Non-public,269.0
2006,Community Hospitals Admissions,Public,0.0
2006,Community Hospitals Admissions,Non-public,6229.0
2007,Acute Hospitals Admissions,Public,317355.0
2007,Acute Hospitals Admissions,Non-public,95850.0
2007,Psychiatric Hospitals Admissions,Public,8417.0
2007,Psychiatric Hospitals Admissions,Non-public,288.0
2007,Community Hospitals Admissions,Public,0.0
2007,Community Hospitals Admissions,Non-public,7312.0
2008,Acute Hospitals Admissions,Public,321187.0
2008,Acute Hospitals Admissions,Non-public,91013.0
2008,Psychiatric Hospitals Admissions,Public,8884.0
2008,Psychiatric Hospitals Admissions,Non-public,0.0
2008,Community Hospitals Admissions,Public,0.0
2008,Community Hospitals Admissions,Non-public,7013.0
2009,Acute Hospitals Admissions,Public,323535.0
2009,Acute Hospitals Admissions,Non-public,90057.0
2009,Psychiatric Hospitals Admissions,Public,9060.0
2009,Psychiatric Hospitals Admissions,Non-public,0.0
2009,Community Hospitals Admissions,Public,0.0
2009,Community Hospitals Admissions,Non-public,7612.0
2010,Acute Hospitals Admissions,Public,333573.0
2010,Acute Hospitals Admissions,Non-public,93732.0
2010,Psychiatric Hospitals Admissions,Public,9759.0
2010,Psychiatric Hospitals Admissions,Non-public,0.0
2010,Community Hospitals Admissions,Public,0.0
2010,Community Hospitals Admissions,Non-public,7534.0
2011,Acute Hospitals Admissions,Public,347398.0
2011,Acute Hospitals Admissions,Non-public,98986.0
2011,Psychiatric Hospitals Admissions,Public,9628.0
2011,Psychiatric Hospitals Admissions,Non-public,0.0
2011,Community Hospitals Admissions,Public,572.0
2011,Community Hospitals Admissions,Non-public,7107.0
2012,Acute Hospitals Admissions,Public,354076.0
2012,Acute Hospitals Admissions,Non-public,105826.0
2012,Psychiatric Hospitals Admissions,Public,8382.0
2012,Psychiatric Hospitals Admissions,Non-public,0.0
2012,Community Hospitals Admissions,Public,688.0
2012,Community Hospitals Admissions,Non-public,7063.0
2013,Acute Hospitals Admissions,Public,364911.0
2013,Acute Hospitals Admissions,Non-public,109282.0
2013,Psychiatric Hospitals Admissions,Public,8110.0
2013,Psychiatric Hospitals Admissions,Non-public,0.0
2013,Community Hospitals Admissions,Public,1053.0
2013,Community Hospitals Admissions,Non-public,7649.0
2014,Acute Hospitals Admissions,Public,372661.0
2014,Acute Hospitals Admissions,Non-public,116913.0
2014,Psychiatric Hospitals Admissions,Public,9050.0
2014,Psychiatric Hospitals Admissions,Non-public,0.0
2014,Community Hospitals Admissions,Public,1467.0
2014,Community Hospitals Admissions,Non-public,7600.0
2015,Acute Hospitals Admissions,Public,379973.0
2015,Acute Hospitals Admissions,Non-public,119916.0
2015,Psychiatric Hospitals Admissions,Public,8986.0
2015,Psychiatric Hospitals Admissions,Non-public,0.0
2015,Community Hospitals Admissions,Public,2187.0
2015,Community Hospitals Admissions,Non-public,8483.0
2016,Acute Hospitals Admissions,Public,416663.0
2016,Acute Hospitals Admissions,Non-public,129593.0
2016,Psychiatric Hospitals Admissions,Public,9028.0
2016,Psychiatric Hospitals Admissions,Non-public,0.0
2016,Community Hospitals Admissions,Public,5432.0
2016,Community Hospitals Admissions,Non-public,8449.0
2017,Acute Hospitals Admissions,Public,436882.0
2017,Acute Hospitals Admissions,Non-public,131235.0
2017,Psychiatric Hospitals Admissions,Public,9316.0
2017,Psychiatric Hospitals Admissions,Non-public,0.0
2017,Community Hospitals Admissions,Public,7361.0
2017,Community Hospitals Admissions,Non-public,8994.0
2018,Acute Hospitals Admissions,Public,455272.0
2018,Acute Hospitals Admissions,Non-public,129547.0
2018,Psychiatric Hospitals Admissions,Public,9215.0
2018,Psychiatric Hospitals Admissions,Non-public,0.0
2018,Community Hospitals Admissions,Public,8271.0
2018,Community Hospitals Admissions,Non-public,9628.0
2019,Acute Hospitals Admissions,Public,483939.0
2019,Acute Hospitals Admissions,Non-public,134197.0
2019,Psychiatric Hospitals Admissions,Public,9234.0
2019,Psychiatric Hospitals Admissions,Non-public,0.0
2019,Community Hospitals Admissions,Public,10215.0
2019,Community Hospitals Admissions,Non-public,9828.0
2020,Acute Hospitals Admissions,Public,444863.0
2020,Acute Hospitals Admissions,Non-public,111648.0
2020,Psychiatric Hospitals Admissions,Public,8426.0
2020,Psychiatric Hospitals Admissions,Non-public,0.0
2020,Community Hospitals Admissions,Public,11169.0
2020,Community Hospitals Admissions,Non-public,9679.0
