area,sex,age_group,population
Total,total,0-4,183080
Ang Mo Kio - Total,total,0-4,5280
Ang Mo Kio Town Centre,total,0-4,170
Cheng San,total,0-4,1060
Chong Boon,total,0-4,860
Kebun Bahru,total,0-4,660
Sembawang Hills,total,0-4,210
Shangri-La,total,0-4,550
Tagore,total,0-4,210
Townsville,total,0-4,660
Yio Chu Kang,total,0-4,-
Yio Chu Kang East,total,0-4,160
Yio Chu Kang North,total,0-4,-
Yio Chu Kang West,total,0-4,750
Bedok - Total,total,0-4,9790
Bayshore,total,0-4,340
Bedok North,total,0-4,2710
Bedok Reservoir,total,0-4,1100
Bedok South,total,0-4,1430
Frankel,total,0-4,1460
Kaki Bukit,total,0-4,1200
Kembangan,total,0-4,1410
Siglap,total,0-4,160
Bishan - Total,total,0-4,2790
Bishan East,total,0-4,870
Marymount,total,0-4,1010
Upper Thomson,total,0-4,910
Boon Lay - Total,total,0-4,-
Liu Fang,total,0-4,-
Samulun,total,0-4,-
Shipyard,total,0-4,-
Tukang,total,0-4,-
Bukit Batok - Total,total,0-4,7920
Brickworks,total,0-4,2710
Bukit Batok Central,total,0-4,1310
Bukit Batok East,total,0-4,340
Bukit Batok South,total,0-4,690
Bukit Batok West,total,0-4,660
Gombak,total,0-4,350
Guilin,total,0-4,430
Hillview,total,0-4,560
Hong Kah North,total,0-4,870
Bukit Merah - Total,total,0-4,5970
Alexandra Hill,total,0-4,370
Alexandra North,total,0-4,160
Bukit Ho Swee,total,0-4,460
Bukit Merah,total,0-4,30
City Terminals,total,0-4,-
Depot Road,total,0-4,350
Everton Park,total,0-4,220
Henderson Hill,total,0-4,440
Kampong Tiong Bahru,total,0-4,220
Maritime Square,total,0-4,200
Redhill,total,0-4,490
Singapore General Hospital,total,0-4,-
Telok Blangah Drive,total,0-4,1190
Telok Blangah Rise,total,0-4,350
Telok Blangah Way,total,0-4,240
Tiong Bahru,total,0-4,690
Tiong Bahru Station,total,0-4,560
Bukit Panjang - Total,total,0-4,6250
Bangkit,total,0-4,680
Dairy Farm,total,0-4,310
Fajar,total,0-4,1530
Jelebu,total,0-4,930
Nature Reserve,total,0-4,150
Saujana,total,0-4,1520
Senja,total,0-4,1130
Bukit Timah - Total,total,0-4,3130
Anak Bukit,total,0-4,700
Coronation Road,total,0-4,300
Farrer Court,total,0-4,300
Hillcrest,total,0-4,440
Holland Road,total,0-4,460
Leedon Park,total,0-4,300
Swiss Club,total,0-4,240
Ulu Pandan,total,0-4,400
Central Water Catchment - Total,total,0-4,-
Central Water Catchment,total,0-4,-
Changi- Total,total,0-4,130
Changi Airport,total,0-4,-
Changi Point,total,0-4,10
Changi West,total,0-4,120
Changi Bay - Total,total,0-4,-
Changi Bay,total,0-4,-
Choa Chu Kang - Total,total,0-4,8990
Choa Chu Kang Central,total,0-4,820
Choa Chu Kang North,total,0-4,850
Keat Hong,total,0-4,3540
Peng Siang,total,0-4,1660
Teck Whye,total,0-4,760
Yew Tee,total,0-4,1360
Clementi - Total,total,0-4,3760
Clementi Central,total,0-4,480
Clementi North,total,0-4,1390
Clementi West,total,0-4,480
Clementi Woods,total,0-4,680
Faber,total,0-4,270
Pandan,total,0-4,-
Sunset Way,total,0-4,170
Toh Tuck,total,0-4,-
West Coast,total,0-4,290
Downtown Core - Total,total,0-4,110
Anson,total,0-4,-
Bayfront Subzone,total,0-4,-
Bugis,total,0-4,20
Cecil,total,0-4,10
Central Subzone,total,0-4,40
City Hall,total,0-4,-
Clifford Pier,total,0-4,-
Marina Centre,total,0-4,-
Maxwell,total,0-4,-
Nicoll,total,0-4,10
Phillip,total,0-4,-
Raffles Place,total,0-4,-
Tanjong Pagar,total,0-4,20
Geylang - Total,total,0-4,3960
Aljunied,total,0-4,1250
Geylang East,total,0-4,1100
Kallang Way,total,0-4,-
Kampong Ubi,total,0-4,400
Macpherson,total,0-4,1210
Hougang - Total,total,0-4,9110
Defu Industrial Park,total,0-4,-
Hougang Central,total,0-4,130
Hougang East,total,0-4,1360
Hougang West,total,0-4,1330
Kangkar,total,0-4,1760
Kovan,total,0-4,900
Lorong Ah Soo,total,0-4,950
Lorong Halus,total,0-4,-
Tai Seng,total,0-4,430
Trafalgar,total,0-4,2260
Jurong East - Total,total,0-4,2510
International Business Park,total,0-4,-
Jurong Gateway,total,0-4,20
Jurong Port,total,0-4,-
Jurong River,total,0-4,-
Lakeside (Business),total,0-4,-
Lakeside (Leisure),total,0-4,20
Penjuru Crescent,total,0-4,-
Teban Gardens,total,0-4,760
Toh Guan,total,0-4,420
Yuhua East,total,0-4,690
Yuhua West,total,0-4,600
Jurong West - Total,total,0-4,10580
Boon Lay Place,total,0-4,1520
Chin Bee,total,0-4,-
Hong Kah,total,0-4,1870
Jurong West Central,total,0-4,2530
Kian Teck,total,0-4,-
Safti,total,0-4,-
Taman Jurong,total,0-4,2030
Wenya,total,0-4,440
Yunnan,total,0-4,2190
Kallang - Total,total,0-4,3930
Bendemeer,total,0-4,1900
Boon Keng,total,0-4,410
Crawford,total,0-4,220
Geylang Bahru,total,0-4,270
Kallang Bahru,total,0-4,-
Kampong Bugis,total,0-4,40
Kampong Java,total,0-4,330
Lavender,total,0-4,350
Tanjong Rhu,total,0-4,410
Lim Chu Kang - Total,total,0-4,10
Lim Chu Kang,total,0-4,10
Mandai - Total,total,0-4,60
Mandai East,total,0-4,-
Mandai Estate,total,0-4,60
Mandai West,total,0-4,-
Marina East - Total,total,0-4,-
Marina East,total,0-4,-
Marina South - Total,total,0-4,-
Marina South,total,0-4,-
Marine Parade - Total,total,0-4,1890
East Coast,total,0-4,-
Katong,total,0-4,390
Marina East (Mp),total,0-4,-
Marine Parade,total,0-4,1060
Mountbatten,total,0-4,450
Museum - Total,total,0-4,20
Bras Basah,total,0-4,-
Dhoby Ghaut,total,0-4,10
Fort Canning,total,0-4,10
Newton - Total,total,0-4,380
Cairnhill,total,0-4,180
Goodwood Park,total,0-4,70
Istana Negara,total,0-4,-
Monk's Hill,total,0-4,60
Newton Circus,total,0-4,10
Orange Grove,total,0-4,70
North-Eastern Islands - Total,total,0-4,-
North-Eastern Islands,total,0-4,-
Novena - Total,total,0-4,2170
Balestier,total,0-4,1320
Dunearn,total,0-4,140
Malcolm,total,0-4,150
Moulmein,total,0-4,530
Mount Pleasant,total,0-4,30
Orchard - Total,total,0-4,50
Boulevard,total,0-4,20
Somerset,total,0-4,10
Tanglin,total,0-4,20
Outram - Total,total,0-4,650
China Square,total,0-4,30
Chinatown,total,0-4,450
Pearl's Hill,total,0-4,170
People's Park,total,0-4,-
Pasir Ris - Total,total,0-4,5690
Flora Drive,total,0-4,530
Loyang East,total,0-4,60
Loyang West,total,0-4,-
Pasir Ris Central,total,0-4,1640
Pasir Ris Drive,total,0-4,1730
Pasir Ris Park,total,0-4,460
Pasir Ris Wafer Fab Park,total,0-4,-
Pasir Ris West,total,0-4,1260
Paya Lebar - Total,total,0-4,-
Airport Road,total,0-4,-
Paya Lebar East,total,0-4,-
Paya Lebar North,total,0-4,-
Paya Lebar West,total,0-4,-
Plab,total,0-4,-
Pioneer - Total,total,0-4,-
Benoi Sector,total,0-4,-
Gul Basin,total,0-4,-
Gul Circle,total,0-4,-
Joo Koon,total,0-4,-
Pioneer Sector,total,0-4,-
Punggol - Total,total,0-4,16160
Coney Island,total,0-4,-
Matilda,total,0-4,5430
Northshore,total,0-4,20
Punggol Canal,total,0-4,-
Punggol Field,total,0-4,2420
Punggol Town Centre,total,0-4,2820
Waterway East,total,0-4,5470
Queenstown - Total,total,0-4,3980
Commonwealth,total,0-4,140
Dover,total,0-4,350
Ghim Moh,total,0-4,850
Holland Drive,total,0-4,350
Kent Ridge,total,0-4,-
Margaret Drive,total,0-4,1120
Mei Chin,total,0-4,460
National University Of S'pore,total,0-4,-
One North,total,0-4,40
Pasir Panjang 1,total,0-4,160
Pasir Panjang 2,total,0-4,90
Port,total,0-4,-
Queensway,total,0-4,10
Singapore Polytechnic,total,0-4,-
Tanglin Halt,total,0-4,400
River Valley - Total,total,0-4,450
Institution Hill,total,0-4,200
Leonie Hill,total,0-4,120
One Tree Hill,total,0-4,70
Oxley,total,0-4,50
Paterson,total,0-4,10
Rochor - Total,total,0-4,410
Bencoolen,total,0-4,40
Farrer Park,total,0-4,80
Kampong Glam,total,0-4,-
Little India,total,0-4,80
Mackenzie,total,0-4,-
Mount Emily,total,0-4,90
Rochor Canal,total,0-4,-
Selegie,total,0-4,-
Sungei Road,total,0-4,70
Victoria,total,0-4,40
Seletar - Total,total,0-4,10
Pulau Punggol Barat,total,0-4,-
Pulau Punggol Timor,total,0-4,-
Seletar,total,0-4,10
Seletar Aerospace Park,total,0-4,-
Sembawang - Total,total,0-4,6310
Admiralty,total,0-4,700
Sembawang Central,total,0-4,1830
Sembawang East,total,0-4,2070
Sembawang North,total,0-4,1080
Sembawang Springs,total,0-4,560
Sembawang Straits,total,0-4,60
Senoko North,total,0-4,-
Senoko South,total,0-4,-
The Wharves,total,0-4,-
Sengkang - Total,total,0-4,16380
Anchorvale,total,0-4,3790
Compassvale,total,0-4,1670
Fernvale,total,0-4,4830
Lorong Halus North,total,0-4,-
Rivervale,total,0-4,2500
Sengkang Town Centre,total,0-4,3590
Sengkang West,total,0-4,-
Serangoon - Total,total,0-4,3550
Lorong Chuan,total,0-4,290
Seletar Hills,total,0-4,450
Serangoon Central,total,0-4,700
Serangoon Garden,total,0-4,1040
Serangoon North,total,0-4,480
Serangoon North Ind Estate,total,0-4,-
Upper Paya Lebar,total,0-4,590
Simpang - Total,total,0-4,-
Pulau Seletar,total,0-4,-
Simpang North,total,0-4,-
Simpang South,total,0-4,-
Tanjong Irau,total,0-4,-
Singapore River - Total,total,0-4,210
Boat Quay,total,0-4,-
Clarke Quay,total,0-4,10
Robertson Quay,total,0-4,200
